cast_id,character,credit_id,gender,id,name,order
97,Col. Quaritch's Mech Suit (uncredited),52fe48019251416c750acb5b,0,60656,T. J. Storm,77
98,Female Marine (uncredited),52fe48019251416c750acb5f,0,1207291,Jodie Taylor,78
99,Ikran Clan Leader (uncredited),52fe48019251416c750acb63,1,1186027,Alicia Vela-Bailey,79
100,Geologist (uncredited),52fe48019251416c750acb67,0,1207292,Richard Whiteside,80
101,Na'vi (uncredited),52fe48019251416c750acb6b,0,103259,Nikie Zambo,81
102,Ambient Room Tech / Troupe,52fe48019251416c750acb6f,1,42286,Julene Renee,82
6,Elizabeth Swann,52fe4232c3a36847f800b515,1,116,Keira Knightley,2
19,Tia Dalma,52fe4232c3a36847f800b549,1,2038,Naomie Harris,10
16,Pintel,52fe4232c3a36847f800b53d,2,1710,Lee Arenberg,13
15,Ragetti,52fe4232c3a36847f800b539,2,1711,Mackenzie Crook,14
18,Lieutenant Theodore Groves,52fe4232c3a36847f800b545,2,4031,Greg Ellis,15
17,Marty,52fe4232c3a36847f800b541,2,4030,Martin Klebba,17
1,James Bond,52fe4d22c3a368484e1d8d6b,2,8784,Daniel Craig,0
23,Mr. White,5517b3849251416f0d0032c8,2,2244,Jesper Christensen,10
24,Marco Sciarra,5517b398c3a36862fc002df6,0,1381616,Alessandro Cremona,11
180,Gallo,56fddbacc3a36821b6000aca,2,1385592,Domenico Fortunato,15
181,Q's Assistant,56fddc319251412a4d0009f9,0,122556,Ian Bonar,18
182,Moneypenny's Boyfriend,56fddc66c3a36821b6000b04,2,1599239,Tam Williams,19
183,Blofeld's London Helicopter Pilot,56fddc989251412a56000a85,2,1599241,Richard Banham,20
184,SC019 Police Commander,56fddccf9251412a4b000b5d,2,230681,Pip Carter,21
185,SC019 Police Officer,56fddce6c3a36821ae000b45,2,30446,Simon Lenagan,22
27,Priest,5517b4f69251416efe003370,2,48377,Alessandro Bressanello,23
186,Blofeld's Right Hand Man,56fddd5a9251412a42000b52,2,1129783,Gediminas Adomaitis,27
187,Francesco,56fddd9cc3a36821a4000b5b,2,1299312,Francesco Arca,29
188,Marco,56fdddb79251412a50000aad,2,124628,Matteo Taranto,30
189,Palazzo Security,56fdddd69251412a56000ac6,2,1562103,Emilio Aniba,31
190,Guerra,56fdddf19251412a50000ac1,2,1474616,Benito Sagredo,32
191,Businessman,56fdde0d9251416cc200004c,2,1247684,Dai Tabuchi,33
192,Businessman,56fdde1bc3a36821b1000ba8,2,1599245,George Lasha,34
193,Businessman,56fdde259251412a42000b93,0,1599247,Sargon Yelda,35
194,Businessman,56fdde9fc3a36821b6000ba0,2,1599251,Andy Cheung,36
195,Marshall,56fddeb29251412a50000af4,2,1599252,Erick Hayden,37
196,Valerian,56fddec8c3a36821ab000c19,2,1599253,Oleg Mirochnikov,38
197,Fiat Driver,56fddef89251412a47000a79,2,123548,Antonio Salines,39
198,Street Sweeper,56fddf109251416cc2000086,2,1599254,Miloud Mourad Benamara,40
199,Chairman,56fddf4a9251412a42000bcf,2,1599255,Gido Schimanski,41
200,Head of Nation,56fddf69c3a36821a7000b12,0,1404403,Nigel Barber,42
201,Head of Nation,56fddf7fc3a36821b1000c0d,2,74415,Patrice Naiambana,43
202,Head of Nation,56fddf89c3a368219d000adb,2,1599256,Stephane Cornicard,44
203,Head of Nation,56fddf929251412a56000b29,2,1599257,Gary Fannin,45
204,Head of Nation,56fddf9cc3a36821ae000be1,2,1599258,Sadao Ueda,46
205,Head of Nation,56fddfb99251412a50000b30,0,1599259,Phillip Law,47
206,Head of Nation,56fddfef9251412a54000ba8,2,1599260,Wai Wong,48
207,Head of Nation,56fde0179251412a47000ac2,2,1477143,Joseph Balderrama,49
208,Aide,56fde0809251416cc20000cb,2,1599261,Eiji Mihara,50
209,Aide,56fde0a49251412a47000ae0,2,1168129,Junichi Kajioka,51
210,Clinic Security Guard,56fde0f19251412a42000c28,2,1437333,Harald Windisch,53
211,Clinic Security Guard,56fde118c3a36821a4000c3c,2,1599262,Tristan Matthiae,54
177,Cable Car Heavy,5696db21c3a3683af90002d6,2,14637,Detlef Bothe,55
212,Cable Car Heavy,56fde128c3a368219d000b4f,2,1599263,Bodo Friesecke,56
213,Syringe Heavy,56fde1769251412a54000c0b,2,1599264,Wilhem Iben,57
214,Snowboarder,56fde1849251412a42000c4d,1,1599265,Noemi Krausz,58
215,Snowboarder,56fde18dc3a36821b6000c4f,2,1599266,Noah Saavedra,59
216,Snowboarder,56fde1989251412a54000c16,0,1599267,Francis Attakpah,60
217,Snowboarder,56fde1a39251412a42000c58,2,1599268,Michael Glantschnig,61
218,Snowboarder,56fde1aec3a36821ab000cbf,2,1599269,Marlon Boess,62
219,Snowboarder,56fde1b8c3a36821ae000c62,1,1599270,Marie Wohlmuth,63
220,Snowboarder,56fde1c1c3a36821b1000c9c,1,1599271,Lili Epply,64
221,Snowboarder,56fde1cbc3a36821a7000baf,2,1599272,Konstantin Gerlach,65
222,L'Americain Manater,56fde24c9251412a45000bfb,1,1102369,Lara Parmiani,66
223,Train Guard,56fde2679251412a54000c42,2,1372694,Umit Ulgen,67
224,Train Waiter,56fde2869251412a50000bf1,2,1363060,Amra Mallassi,68
225,Train Barman,56fde2969251412a45000c15,2,1599275,Ziad Abaza,69
226,Blofeld's Chauffeur,56fde2a79251412a54000c55,2,1599276,Walid Mumuni,70
227,Blofeld's Guard,56fde2eb9251416cc200015b,0,1599277,Derek Horsham,71
228,Blofeld's Guard,56fde3059251412a47000b6a,2,229320,Nari Blair-Mangat,72
229,Blofeld's Butler,56fde321c3a36821ab000d32,0,1599278,Michael White,73
230,Blofeld's Waiter,56fde34c9251412a56000c21,0,1599279,Adam McGrady,74
231,Blofeld's Analyst,56fde36d9251412a50000c2b,2,1436816,Nader Dernaika,75
232,Blofeld's Chief Analyst,56fde37f9251412a4b000cf7,2,1599280,Pezhmaan Alinia,76
31,M (uncredited),562f218fc3a3681b5200c9e5,1,5309,Judi Dench,77
26,Clinic Patron (uncredited),5517b4bbc3a3686302002f36,1,1186597,Neve Gachev,78
245,Businessman (uncredited),57e11a3e92514104570052ba,2,1654739,Karl Farrer,79
246,Lair Staff (uncredited),57e124d992514104530055ec,1,1682535,Kim Adis,80
247,Mexican Sprite (uncredited),57e125ccc3a36853f2005365,1,1682536,Maurisa Selene Coleman,81
